team,win_perc,field_goals,field_goal_attemps,field_goal_perc,three_pointers,three_point_attempts,three_point_perc,free_throw_perc,two_pointers,two_point_attempts,two_point_perc,wins,losses,free_throws,free_throw_attemps,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,blocks_against,personal_fouls,total_points,score_differential,season
Atlanta Hawks,0.341,2829,6529,0.433,419,1249,0.3354683746997598,0.776,2410,5280,0.4564393939393939,28,54,1534,1976,996,2507,3503,1648,1350,627,408,416,1826,7611,-381,2003-04
Boston Celtics,0.439,2843,6415,0.443,553,1599,0.3458411507191995,0.75,2290,4816,0.4754983388704319,36,46,1572,2095,851,2440,3291,1683,1332,770,331,408,1837,7811,-119,2003-04
Chicago Bulls,0.28,2798,6753,0.414,429,1256,0.34156050955414013,0.725,2369,5497,0.4309623430962343,23,59,1330,1834,1048,2519,3567,1793,1321,659,396,446,1911,7355,-521,2003-04
Cleveland Cavaliers,0.427,2922,6753,0.433,247,786,0.3142493638676845,0.753,2675,5967,0.4482989777107424,35,47,1528,2030,1118,2619,3737,1808,1216,585,537,434,1743,7619,-215,2003-04
Dallas Mavericks,0.634,3322,7230,0.459,507,1456,0.3482142857142857,0.796,2815,5774,0.48753030827848975,52,30,1475,1854,1174,2538,3712,1963,1000,656,437,382,1609,8626,364,2003-04
Denver Nuggets,0.524,2993,6763,0.443,331,985,0.33604060913705586,0.767,2662,5778,0.4607130494980962,43,39,1655,2159,1083,2387,3470,1794,1278,745,520,479,1804,7972,88,2003-04
Detroit Pistons,0.659,2747,6314,0.435,333,968,0.3440082644628099,0.753,2414,5346,0.4515525626636738,54,28,1561,2074,1014,2492,3506,1702,1241,659,570,410,1664,7388,479,2003-04
Golden State Warriors,0.451,2875,6511,0.442,429,1283,0.3343725643024162,0.725,2446,5228,0.4678653404743688,37,45,1470,2028,1002,2533,3535,1681,1211,576,389,418,1691,7649,-60,2003-04
Houston Rockets,0.549,2738,6195,0.442,515,1406,0.3662873399715505,0.773,2223,4789,0.4641887659219044,45,37,1371,1774,847,2647,3494,1579,1373,560,443,359,1762,7362,142,2003-04
Indiana Pacers,0.744,2753,6322,0.435,449,1281,0.3505074160811866,0.764,2304,5041,0.45705217218805794,61,21,1538,2014,965,2452,3417,1774,1182,726,411,512,1709,7493,472,2003-04
Los Angeles Clippers,0.341,2817,6579,0.428,329,1024,0.3212890625,0.785,2488,5555,0.4478847884788479,28,54,1808,2302,1149,2416,3565,1653,1344,594,376,437,1816,7771,-376,2003-04
Los Angeles Lakers,0.683,3028,6676,0.454,365,1115,0.3273542600896861,0.693,2663,5561,0.4788707067074267,56,26,1631,2352,1001,2535,3536,1948,1132,682,379,308,1732,8052,320,2003-04
Memphis Grizzlies,0.61,2963,6657,0.445,447,1314,0.3401826484018265,0.727,2516,5343,0.47089650009358036,50,32,1557,2143,1047,2381,3428,1915,1226,795,565,461,1903,7930,200,2003-04
Miami Heat,0.512,2729,6417,0.425,485,1357,0.3574060427413412,0.762,2244,5060,0.4434782608695652,42,40,1459,1915,940,2459,3399,1565,1137,590,313,439,1812,7402,43,2003-04
Milwaukee Bucks,0.5,2970,6650,0.447,401,1145,0.3502183406113537,0.775,2569,5505,0.4666666666666667,41,41,1698,2192,960,2502,3462,1872,1110,554,383,406,1668,8039,87,2003-04
